song_id,song_name,Artist,Lyrics,Type
C 11,Mage Sihine Obai,B & S,"මගෙ සිහිනේ ඔබයි
මගෙ සිහිනේ ඔබයි
තනි යහනේ නොවෙයි
ආදරයේ හද උණුසුම ඔබයි

ඔබෙ සෙනෙහේ මගෙයි
ඔබෙ සෙනෙහේ මගෙයි
තනි යහනේ නොවෙයි
ආදරයේ ඔබ මුතුලැල් වටී


මල් පැන් පොදක් කිනිත්තක් අගින්
ඉසින්නා වගෙයි මට ඔබේ ආදරේ
.

මල් පැන් පොදක් කිනිත්තක් අගින්
ඉසින්නා වගෙයි මට ඔබේ ආදරේ.

නෙළුමක් නෙළුමක් තරං..

මගෙ සිහිනේ ඔබයි
ඔබෙ සෙනෙහේ මගෙයි


තනි යහනේ නොවෙයි (නොවෙයි
ආදරයේ හද උණුසුම ඔබයි


ඔබගෙන් තරම් ලැබූ පෙම් වදන්
ඉතිං ආදරෙයි නම් බෝහෝමයි
.

ඔබගෙන් තරම් ලැබූ පෙම් වදන්
ඉතිං ආදරෙයි නම් බෝහෝමයි
හැගුම්.


අහසක් අහසක් තරම්


මල් පැන් පොදක් කිනිත්තක් අගින්
ඉසින්නා වගෙයි මට ඔබේ
ආදරේ..

ඔබගෙන් තරම් ලැබූ පෙම් වදන්
ඉතිං ආදරෙයි නම් බෝහෝමයි
හැගුම්...

මල් පැන් පොදක් කිනිත්තක් අගින්
ඉසින්නා වගෙයි මට ඔබේ
ආදරේ..

ඔබගෙන් තරම් ලැබූ පෙම් වදන්
ඉතිං ආදරෙයි නම් බෝහෝමයි
හැගුම්


මල් පැන් පොදක්",Calm
C 12,Siri Buddhagaya Vihare,H.W. Rupasinghe  and Rukmani Devi,"සිරි බුද්ධගයා විහාරේ
වදිනේමූ මෝක්ෂ පතලා ..
සිරි බුද්ධගයා විහාරේ
වදිනේමූ මෝක්ෂ පතලා ..
ශාක්‍ය තිලෝනා වැඩ සිටි එදිනා
ශාක්‍ය තිලෝනා වැඩ සිටි එදිනා
මරාංගනන් පරදාලා
මරාංගනන් පරදාලා
බුද්ධගයා
සිරි බුද්ධගයා
විහාරේ වදිනේමූ මෝක්ෂ පතලා

ශ්‍රී මහා බෝධි වෙත සැදි ඒ
විදුරසුනේ දී මුනි රාජා ..
ශ්‍රී මහා බෝධි වෙත සැදි ඒ
විදුරසුනේ දී මුනි රාජා ..
ආ දස බිම්බර මාර සේනා
ආ දස බිම්බර මාර සේනා
පෙරුම් බලෙන් පරදාලා
පෙරුම් බලෙන් පරදාලා

බුද්ධගයා
සිරි බුද්ධගයා
විහාරේ වදිනේමූ මෝක්ෂ පතලා

ප්‍රාතිහාර්ය පැ දස බලධාරි
ප්‍රාතිහාර්ය පැ දස බලධාරි
ජයබිම මේ විසාලා ...
ප්‍රාතිහාර්ය පැ දස බලධාරි
ජයබිම මේ විසාලා .
ශාසන ආලෙ ඇති ලෝ වාසි
ශාසන ආලේ
ශාසන ආලේ
ශාසන ආලෙ ඇති ලෝ වාසි
බව දුක නසනා සේ මා
බව දුක නසනා සේ මා
වදිනේමූ මෝක්ෂ පතාලා
සිරි බුද්ධගයා ...
සිරි බුද්ධගයා
විහාරේ වදිනේමූ මෝක්ෂ පතලා ..",Calm
C 13,Sugatha Lona Sambudda Raja,HR Jothipala,"සුගත ලෝනා සම්බුද්ධ රාජා
සුගත ලෝනා සම්බුද්ධ රාජා
ශ්‍රී පද පද්මෙ පුදනෙමි දී භක්ති පූජා
දී භක්ති පූජා
සුගත ලෝනා සම්බුද්ධ රාජා


භව රෝගෙට ඔසුවක් සොයනා නියා
රජ සම්පත හැරදා නික්මී ගියා
භව රෝගෙට ඔසුවක් සොයනා නියා
රජ සම්පත හැරදා නික්මී ගියා
පාරමී දම් පුරා -ඝෝර මරසෙන් නසා
බෝධි මූලේ.. වෙසඟේ.. බුදු වූ නියා

හො..සුගත ලෝනා සම්බුද්ධ රාජා
ශ්‍රී පද පද්මෙ පුදනෙමි දීභක්ති පූජා
දී භක්ති පූජා
සුගත ලෝනා සම්බුද්ධ රාජා



තුන් ලෝකෙම පිබිදී ආලෝක දී
සුද්ධෝදන පුතු දම් නායක වී
තුන් ලෝකෙම පිබිදී ආලෝක දී
සුද්ධෝදන පුතු දම් නායක වී
අහස දෙදරා ගියා -පොලව ගුගුරා ගියා
ශාක්‍ය රජ මේ.. වෙසඟේ.. බුදු වූ නියා

හො..සුගත ලෝනා සම්බුද්ධ රාජා
ශ්‍රී පද පද්මෙ පුදනෙමි දී භක්ති පූජා
දී භක්ති පූජා
සුගත ලෝනා සම්බුද්ධ රාජා",Calm
C 14,Adare Matamai Kiya (Deneth Agin Kadulali),Rukshan Mark,"දෙනෙත් අගින්
කඳුළැලි පිරෙද්දී
සිතට මගේ තව දුක දී
නැවතත් ඔබ මා තුරුලේ
නපුරුද ඔබගේ ආදරේ…..

ආදරේ මටමයි කියා
කිවා මතකයි දිව්රා එදා
හැර යයි කියලා
සිතුවේ නෑ මෙමා
මා හැරදමා ඔබ ගියා
මා හැර දමා……

සුන්දරයි එදා වගේ
බොලඳ වදන්
තවමත් ඒ වගෙයි
වෙනසක් මට නෑ දැනුනේ
තනිකම පමණයි ඇත්තේ….

ආදරේ මටමයි කියා…
දෙනෙත් අගින්
කඳුළැලි පිරෙද්දී
සිතට මගේ තව දුක දී
නැවතත් ඔබ මා තුරුලේ
නපුරුද ඔබගේ ආදරේ…..

ආදරේ මටමයි කියා
කිවා මතකයි දිව්රා එදා
හැර යයි කියලා
සිතුවේ නෑ මෙමා
මා හැරදමා ඔබ ගියා
මා හැර දමා……

සුන්දරයි එදා වගේ
බොලඳ වදන්
තවමත් ඒ වගෙයි
වෙනසක් මට නෑ දැනුනේ
තනිකම පමණයි ඇත්තේ….

ආදරේ මටමයි කියා
කිවා මතකයි දිව්රා එදා
හැර යයි කියලා
සිතුවේ නෑ මෙමා
මා හැරදමා ඔබ ගියා
මා හැර දමා……",Calm
C 15,Dunhinda Halena Hamathana Nagena,Chithra Somapala,"දුන්හිඳ හැලෙනා ..
හැමතැන නැඟෙනා..
දුන්හිඳ දිය හැලෙනා දිය හැමතැන නැඟෙනා..
දුන්හිඳ දිය හැලෙනා ගල් පරවල හැපෙනා..


ලලිත මිහිරි කොමළ සිනා රැලි නැඟ එන්නේ..
ළගට ඇසෙන බඹර කොවුල් හඬ පරදන්නේ..
හැලෙන සුනිල් ජලය ගලා ගඟට හැරෙන්නේ..
නැගෙන මෙදුම් අවට බලා සිහිල සොයන්නේ..

දුන්හිඳ හැලෙනා ..
හැමතැන නැඟෙනා..
දුන්හිඳ දිය හැලෙනා දිය හැමතැන නැඟෙනා..
දුන්හිඳ දිය හැලෙනා ගල් පරවල හැපෙනා..

ගලක හැපී රිදි බුබුළු නැගෙන විලාසේ..
කිරට හැරෙන්නේ රමණී රිදී ජාලාසේ..
බදුලු නදී කොමළීය සුන්දර සුකුමාරි..
මෙවන රැජිණ තනිවටදෝ මෙහි ලතැවෙන්නේ..

දුන්හිඳ හැලෙනා ..
හැමතැන නැඟෙනා..
දුන්හිඳ දිය හැලෙනා දිය හැමතැන නැඟෙනා..
දුන්හිඳ දිය හැලෙනා ගල් පරවල හැපෙනා....
",Calm
C 16,Ma Sitha Miyuru Kalpana,Shirley Waijayantha,"මා සිත මියුරු කල්පනා
රස පද වැලට පෙරලුනා
මිහිරියෙ ඔබට බැදුනු ප්‍රේමයේ නමින්
නැවුම් සිතක ඔබට බැදුනු ප්‍රේමයේ නමින්

මා සිත මියුරු කල්පනා
රස පද වැලට පෙරලුනා
මිහිරියෙ ඔබට බැදුනු ප්‍රේමයේ නමින්
නැවුම් සිතක ඔබට බැදුනු ප්‍රේමයේ නමින්


රුවැති මලක් මද සුළගේ සැලෙන හැටි සිතා
බඹර තුඩක් මල් පෙති මත ලියයි පෙම් කථා
ඔබට කෙලෙස අමතන්නද නොහැක ගනු සිතා
දයාබරව ඔබට ලියමි සෙනෙහසක් පතා

මා සිත මියුරු කල්පනා
රස පද වැලට පෙරලුනා
මිහිරියෙ ඔබට බැදුනු ප්‍රේමයේ නමින්
නැවුම් සිතක ඔබට බැදුනු ප්‍රේමයේ නමින්


රණ මයුරෙක් මයුරියකගෙ රැගුම ගැන සිතා
තුඩින් තුඩග රැදුනු පෙමක් අගෙයි ගනු සිතා
ඔබ අමතන මෙවන් පතක පිලිතුරක් පතා
දැනගන්නට මා රිසියෙනි කිමද ගත් සිතා

මා සිත මියුරු කල්පනා
රස පද වැලට පෙරලුනා
මිහිරියෙ ඔබට බැදුනු ප්‍රේමයේ නමින්
නැවුම් සිතක ඔබට බැදුනු ප්‍රේමයේ නමින්

මා සිත මියුරු කල්පනා
රස පද වැලට පෙරලුනා
මිහිරියෙ ඔබට බැදුනු ප්‍රේමයේ නමින්
නැවුම් සිතක ඔබට බැදුනු ප්‍රේමයේ නමින්",Calm
C 17,Mal Mal Sina,Shirley Waijayantha,"මල් මල් හිනා ඔබේ මුවේ
හද විල මල් සුවඳ සැලේ
ඒ මල් විලේ ඔබේ මගේ
හද පෙම් මල් විකසිත වී

මල් මල් හිනා ඔබේ මුවේ
හද විල මල් සුවඳ සැලේ
ඒ මල් විලේ ඔබේ මගේ

හද පෙම් මල් විකසිත වී


තාරුකා සඳ පායලා
එළිය දී මේ රැයේ
ඔබ මගේ සඳ තාරකාවී
එන්න පායාලා

තාරුකා සඳ පායලා
එළිය දී මේ රැයේ
ඔබ මගේ සඳ තාරකාවී
එන්න පායාලා

මල් මල් හිනා ඔබේ මුවේ
හද විල මල් සුවඳ සැලේ
ඒ මල් විලේ ඔබේ මගේ

හද පෙම් මල් විකසිත වී

පායනා සඳ වාගෙ හිනැහී
එන්න මහදේ වෙලී
ඔබ මගේ මිහිරාවියක වී
ඉන්න සැම කල්හී

පායනා සඳ වාගෙ හිනැහී
එන්න මහදේ වෙලී
ඔබ මගේ මිහිරාවියක වී
ඉන්න සැම කල්හී


මල් මල් හිනා ඔබේ මුවේ
හද විල මල් සුවඳ සැලේ
ඒ මල් විලේ ඔබේ මගේ
හද පෙම් මල් විකසිත වී

මල් මල් හිනා ඔබේ මුවේ
හද විල මල් සුවඳ සැලේ
ඒ මල් විලේ ඔබේ මගේ
හද පෙම් මල් විකසිත වී",Calm
C 18,Kusum Pipi Thuru Mathe,Somathilaka Jayamaha,"කුසුම් පිපී තුරු මතේ
සුවඳ හමයි දස අතේ
කුසුම් පිපී තුරු මතේ
සුවඳ හමයි දස අතේ
කෝකිල කූජනය නැගේ
ලිය ගොමු අතරේ
මධුර වසන්තේ

කුසුම් පිපී තුරු මතේ

සුවඳ හමයි දස අතේ
කුසුම් පිපී තුරු මතේ
සුවඳ හමයි දස අතේ


රේණු සැලේ වැලි තළේ
පෙති ගිලිහී දිය වැළේ
රේණු සැලේ වැලි තළේ
පෙති ගිලිහී දිය වැළේ
ගඟබඩ තුරු වදුල තුලේ
කුරුළු ගී ඇසේ
මධුර වසන්තේ

කුසුම් පිපී තුරු මතේ
සුවඳ හමයි දස අතේ
කුසුම් පිපී තුරු මතේ
සුවඳ හමයි දස අතේ

ගම්මානය කෙළවරේ
පන්සල් බිම බෝ රුකේ
ගම්මානය කෙළවරේ
පන්සල් බිම බෝ රුකේ

සිළි සළි ගා කොල නැටවේ
සම්බුදු මිහිරේ
මධුර වසන්තේ


කුසුම් පිපී තුරු මතේ
සුවඳ හමයි දස අතේ
කුසුම් පිපී තුරු මතේ
සුවඳ හමයි දස අතේ

කෝකිල කූජනය නැගේ
ලිය ගොමු අතරේ
මධුර වසන්තේ

කුසුම් පිපී තුරු මතේ
සුවඳ හමයි දස අතේ
කුසුම් පිපී තුරු මතේ
සුවඳ හමයි දස අතේ
කුසුම් පිපී තුරු මතේ
සුවඳ හමයි දස අතේ
කුසුම් පිපී තුරු මතේ
සුවඳ හමයි දස අතේ",Calm
C 19,Pera Raja Dawasa,Nanda Malini,"පෙර රජ දවස වැව් දාගැබ් ගණන් කොට
ගල් කණු අසළ හපකරමින් බුළත් විට
ඇවිදින විටත් නිදියන දූ පුතුන් ලද
ඒ මගෙ නිජ බිමයි ලෝකෙන් උතුම් රට

කහට කෝප්පේ පොඟවා ගිළින්නට
පාන් කෑල්ලක් යදිනා දනන් හට
ඇස් නැත සිදුව ඇති දේ ගැන දකින්නට
එනමුත් මගෙ රටයි ලෝකෙන් උතුම් රට

රැවටී සුවහසක් බොරු කාරයින් හට
පාඩම් ලබා නැත යුග යුග ගනන් සිට
දෑසේ කඳුළු ඉතිරිව නැත හඬන්නට
එනමුත් මගෙ රටයි ලෝකෙන් උතුම් රට.",Calm
C 20,Rahase Hadana Apa Hagum,Neela Wickramasinghe /Clarence Wijewardhana,"රහසේ හඬනා අප හැඟුම්
ලොව නෑ දන්නේ අප පැතුම්
ලා සඳු පායනා රැයේ
දිලිසේ
තරූ සේ

තනිවී තැවෙනා පෙම් සුසුම්

හිරිමල් වයසේ සෙනෙහින් බැඳී එදා
මතකේ නොමියේ ඔබ මා සිතින් සදා

ආදරයේ රස මියුරු වේදනා

රහසේ හඬනා අප හැඟුම්
ලොව නෑ දන්නේ අප පැතුම්
ලා සඳු පායනා රැයේ
දිලිසේ
තරූ සේ

තනිවී තැවෙනා පෙම් සුසුම්

සඳ රෑ සිහිනේ සෙවනැල්ල සේ වෙලී
ඉමු අපි සොඳුරේ සුපුරුදු ලෙසින් බැඳී
ආදරයේ රස මියුරු වේදනා


රහසේ හඬනා අප හැඟුම්
ලොව නෑ දන්නේ අප පැතුම්
ලා සඳු පායනා රැයේ
දිලිසේ
තරූ සේ
තනිවී තැවෙනා පෙම් සුසුම්
රහසේ හඬනා අප හැඟුම්
ලොව නෑ දන්නේ අප පැතුම්
රහසේ හඬනා අප හැඟුම්
ලොව නෑ දන්නේ අප පැතුම්
රහසේ හඬනා අප හැඟුම්
ලොව නෑ දන්නේ අප පැතුම්",Calm
